title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
Dinosaur,2000,"Eric Leighton, Ralph Zondag",4 wins & 21 nominations.,50895,2000,4,21
Adventures in Babysitting,2016,John Schultz,2 nominations.,2582,2016,0,2
Amphibia,2019,N/A,N/A,912,2019,0,0
Avalon High,2010,Stuart Gillard,1 win & 3 nominations.,5133,2010,1,3
Bad Hair Day,2015,Erik Canuel,N/A,2363,2015,0,0
Big Hero 6: The Series,2017,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,1154,2017,1,4
Bizaardvark,2016,N/A,2 wins & 7 nominations.,1565,2016,2,7
Den Brother,2010,Mark L. Taylor,N/A,1666,2010,0,0
Descendants,2015,Kenny Ortega,Nominated for 1 Primetime Emmy. Another 2 wins & 2 nominations.,14470,2015,2,3
Descendants: Wicked World,2015,N/A,1 nomination.,707,2015,0,1
null,0,null,null,null,0,0,0
The Evermoor Chronicles,2014,N/A,1 nomination.,396,2014,0,1
Family Sundays,2019,N/A,N/A,9,2019,0,0
Fancy Nancy,2018,N/A,2 nominations.,193,2018,0,2
Fast Layne,2019,N/A,N/A,144,2019,0,0
null,0,null,null,null,0,0,0
Girl Vs. Monster,2012,Stuart Gillard,1 win & 2 nominations.,2403,2012,1,2
Gravity Falls,2012,N/A,Won 2 Primetime Emmys. Another 11 wins & 34 nominations.,63771,2012,13,34
null,0,null,null,null,0,0,0
I Didn't Do It,2014,N/A,N/A,2047,0,0,0
Insider,2020,N/A,N/A,5,2020,0,0
Jake and the Never Land Pirates,2011,N/A,3 wins & 9 nominations.,1227,2011,3,9
Jonas,2009,N/A,Nominated for 1 Primetime Emmy. Another 5 wins & 6 nominations.,5555,2009,5,7
Disney Junior Music Nursery Rhymes,2018,N/A,N/A,null,0,0,0
K.C. Undercover,2015,N/A,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,2979,2015,4,9
null,0,null,null,null,0,0,0
